cidade,distcapital
TAPIRAÍ,136
TAPIRATIBA,277
TAQUARAL,376
TAQUARITINGA,348
TAQUARITUBA,328
TAQUARIVAÍ,267
TARABAI,582
TARUMÃ,456
TATUÍ,143
TAUBATÉ,133
TEJUPÁ,350
TEODORO SAMPAIO,663
TERRA ROXA,421
TIETÊ,143
TIMBURI,364
TORRE DE PEDRA,174
TORRINHA,237
TRABIJU,323
TREMEMBÉ,145
TRÊS FRONTEIRAS,633
TUIUTI,115
TUPÃ,512
TUPI PAULISTA,648
TURIÚBA,557
TURMALINA,610
UBARANA,480
UBATUBA,224
UBIRAJARA,398
UCHOA,429
UNIÃO PAULISTA,515
URÂNIA,607
URU,416
URUPÊS,432
VALENTIM GENTIL,547
VALINHOS,89
VALPARAÍSO,563
VARGEM,99
VARGEM GRANDE DO SUL,235
VARGEM GRANDE PAULISTA,44
VÁRZEA PAULISTA,54
VERA CRUZ,421
VINHEDO,83
VIRADOURO,416
VISTA ALEGRE DO ALTO,384
VITÓRIA BRASIL,600
VOTORANTIM,105
VOTUPORANGA,532
Zacarias,538
